record_id,message_length,num_code_terms,num_text_terms_parts,min_length_text_terms,max_length_text_terms,avg_length_text_terms
3644,5,18,1,5,5,5
5235,13,63,1,13,13,13
1053,15,29,1,15,15,15
1735,2,19,1,2,2,2
5553,13,460,1,13,13,13
4895,9,55,1,9,9,9
3122,9,846,1,9,9,9
5547,13,59,1,13,13,13
4881,7,19,1,7,7,7
2228,9,21,1,9,9,9
3136,14,926,1,14,14,14
4659,13,220,2,13,43,28
1721,5,572,1,5,5,5
6728,22,108,2,22,38,30
1047,7,177,1,7,7,7
3650,4,124,1,4,4,4
5221,36,27,1,36,36,36
3888,12,96,1,12,12,12
6700,6,251,1,6,6,6
4117,13,422,2,13,48,30
3678,5,252,1,5,5,5
2566,12,196,5,12,45,20
5209,46,1910,4,46,497,303
2200,21,143,2,21,49,35
4671,14,192,1,14,14,14
1709,20,140,1,20,20,20
6066,4,458,1,4,4,4
289,4,538,1,4,4,4
6072,10,34,1,10,10,10
2214,17,406,1,17,17,17
4665,13,2318,4,13,421,216
4103,4,46,1,4,4,4
2572,15,284,1,15,15,15
6714,19,597,1,19,19,19
6927,19,162,1,19,19,19
504,15,1485,3,15,172,77
1090,26,392,2,26,136,81
2599,11,94,2,11,78,44
3687,2,1056,2,2,28,15
5590,3,129,1,3,3,3
4856,12,32,1,12,12,12
262,19,1120,1,19,19,19
6099,9,43,1,9,9,9
276,10,51,1,10,10,10
5584,8,271,1,8,8,8
4842,12,265,1,12,12,12
3693,10,309,1,10,10,10
6933,4,206,3,4,22,13
510,4,1476,1,4,4,4
3863,5,181,2,5,28,16
538,10,170,1,10,10,10
1912,9,24,1,9,9,9
1906,24,2174,1,24,24,24
3877,9,81,1,9,9,9
3320,43,316,1,43,43,43
5989,4,13,1,4,4,4
5751,9,21,1,9,9,9
6258,8,5746,2,8,38,23
1537,7,164,1,7,7,7
7146,19,759,1,19,19,19
1251,4,49,1,4,4,4
5037,6,117,1,6,6,6
2758,16,1330,1,16,16,16
3446,18,299,1,18,18,18
2980,5,356,1,5,5,5
4329,4,802,1,4,4,4
5023,5,532,3,5,65,36
3452,10,111,1,10,10,10
2994,16,523,1,16,16,16
909,5,956,3,5,172,67
1245,17,844,5,6,543,169
1523,9,10,1,9,9,9
7152,13,1311,1,13,13,13
3334,9,158,2,9,11,10
5745,14,688,1,14,14,14
6264,1,59,1,1,1,1
